vertical,slug,contentType,intent,template,persona,title,primaryKeyword,notes
equity-release,complete-guide-equity-release-uk,pillar,informational,pillar,david,"Equity release in the UK: the complete guide","equity release uk","Pillar. Cover lifetime mortgage vs home reversion, costs, safeguards (Equity Release Council), alternatives. FCA disclaimer required."
equity-release,lifetime-mortgage-vs-home-reversion,spoke,informational,spoke,david,"Lifetime mortgage vs home reversion: which is right for you","lifetime mortgage vs home reversion","Comparison spoke. Use :::compare. Link back to pillar."
equity-release,how-much-equity-can-i-release,spoke,commercial,spoke,david,"How much equity can I release from my home?","how much equity can I release","LTV by age band. Include worked example via :::callout."
mobility-aids,home-adaptations-for-older-adults,pillar,informational,pillar,priya,"Home adaptations for older adults: a practical UK guide","home adaptations for elderly uk","Pillar. Grab rails, stairlifts, wet rooms, ramps. Signpost Disabled Facilities Grant."
mobility-aids,best-stairlifts-uk,spoke,commercial,spoke,priya,"Best stairlifts in the UK for 2026","best stairlifts uk","Product-review spoke. :::compare table of 4 models. Include affiliate refs. Medical disclaimer required."
mobility-aids,how-to-install-grab-rails,spoke,informational,how-to,priya,"How to install grab rails safely in a bathroom","install grab rails bathroom","How-to template. Populate howTo.steps frontmatter."
funeral-planning,funeral-planning-uk-complete-guide,pillar,informational,pillar,david,"Funeral planning in the UK: what to arrange and when","funeral planning uk","Pillar. Prepaid plans (post-FCA), direct cremation, costs, at-need options."
funeral-planning,direct-cremation-uk-cost,spoke,commercial,spoke,david,"Direct cremation in the UK: what it costs and how it works","direct cremation uk cost","Spoke. Cost ranges, provider comparison, affiliate refs."
tech-guides,simple-tech-guide-for-over-55s,pillar,informational,pillar,editorial,"A simple technology guide for people over 55","tech guide for seniors uk","Pillar. Video calling, smartphones, online safety, online banking basics."
tech-guides,how-to-video-call-on-ipad,spoke,informational,how-to,editorial,"How to make a video call on an iPad: step by step","how to video call on ipad","How-to template. Populate howTo.steps. Screenshots placeholder."
tech-guides,avoiding-online-scams-over-55,spoke,informational,spoke,editorial,"How to spot and avoid online scams","avoiding online scams","Spoke. :::callout with Action Fraud signposting."
benefits,benefits-you-can-claim-in-retirement,pillar,informational,pillar,margaret,"UK benefits you can claim in retirement","benefits in retirement uk","Pillar. Attendance Allowance, Pension Credit, Council Tax, Winter Fuel."
benefits,attendance-allowance-eligibility,spoke,informational,spoke,margaret,"Attendance Allowance eligibility: do you qualify?","attendance allowance eligibility","Spoke. Eligibility checklist via :::callout. Link to gov.uk."
benefits,pension-credit-how-to-claim,spoke,informational,how-to,margaret,"How to claim Pension Credit","claim pension credit","How-to. Populate howTo.steps with gov.uk application walkthrough."
wills-poa,wills-and-lasting-power-of-attorney-uk,pillar,informational,pillar,david,"Wills and Lasting Power of Attorney in the UK","wills and lpa uk","Pillar. Will vs LPA, types of LPA, costs, registering with OPG. Legal disclaimer required."
wills-poa,lasting-power-of-attorney-cost-2026,spoke,commercial,spoke,david,"How much does a Lasting Power of Attorney cost in 2026?","lasting power of attorney cost","Spoke. OPG fees, solicitor vs DIY, fee remission."
wills-poa,how-to-write-a-will-uk,spoke,informational,how-to,david,"How to write a will in the UK","how to write a will uk","How-to. Signpost free/charity will services. Legal disclaimer required."
benefits,attendance-allowance-how-to-claim,spoke,informational,how-to,margaret,"How do you claim Attendance Allowance step by step?","attendance allowance how to claim","How-to template. Walk through the gov.uk claim process form by form. Link to attendance-allowance-eligibility spoke. Note 3-month backdating rule."
benefits,pension-credit-what-you-get,spoke,informational,spoke,margaret,"What does Pension Credit pay and how is it calculated?","pension credit amount 2026","Spoke. Explain guarantee credit vs savings credit. Real 2026/27 weekly figures. Link to pension-credit-how-to-claim spoke."
mobility-aids,disabled-facilities-grant-how-to-apply,spoke,informational,how-to,priya,"How do you apply for a Disabled Facilities Grant in England?","disabled facilities grant application","How-to template. Council OT assessment, means test, eligible works, timescales, appeal process."
equity-release,equity-release-interest-rates-2026,spoke,informational,spoke,david,"What are current equity release interest rates in 2026?","equity release interest rates 2026","Spoke. Typical fixed rate range, how compound interest accumulates over time with worked example, comparison with standard mortgage borrowing."
benefits,blue-badge-eligibility-how-to-apply,spoke,informational,spoke,margaret,"Who qualifies for a Blue Badge and how do you apply?","blue badge eligibility uk","Spoke. Automatic eligibility vs assessment route, application process via gov.uk, council variation, appeal rights."
mobility-aids,walk-in-shower-cost-uk,spoke,commercial,spoke,priya,"How much does a walk-in shower cost in the UK?","walk in shower cost uk","Spoke. Wet room vs step-in shower vs shower tray. Typical costs 2026. DFG funding eligibility. What an OT assessment covers."
wills-poa,lasting-power-of-attorney-registration-time,spoke,informational,spoke,margaret,"How long does it take to register a Lasting Power of Attorney?","how long does lpa take to register","Spoke. OPG current processing times, steps in the process, common causes of delay, what to do if urgent."
funeral-planning,average-funeral-cost-uk-2026,spoke,informational,spoke,margaret,"How much does a funeral cost in the UK in 2026?","average funeral cost uk 2026","Spoke. SunLife Cost of Dying 2025 data. Regional variation. Burial vs cremation. Help with costs via DWP Funeral Expenses Payment."
equity-release,equity-release-pros-cons,spoke,informational,spoke,david,"What are the real pros and cons of equity release?","equity release pros cons","Spoke. Balanced treatment. Include compound interest risk, no negative equity guarantee, Equity Release Council standards, alternatives to consider."
benefits,council-tax-reduction-pensioners,spoke,informational,spoke,margaret,"Can pensioners get a council tax reduction?","council tax reduction pensioners","Spoke. Single-occupancy 25% discount, council tax support scheme (means-tested), severe mental impairment exemption, how to apply."
mobility-aids,rollator-vs-walking-frame,spoke,informational,spoke,priya,"Rollator or walking frame: which suits you better?","rollator vs walking frame","Spoke. When each is appropriate clinically. Weight, terrain, indoor vs outdoor use. NHS vs self-purchase. Brands: Drive Medical, NRS Healthcare."
wills-poa,will-writing-cost-uk,spoke,commercial,spoke,margaret,"How much does it cost to have a will written in the UK?","will writing cost uk","Spoke. Solicitor vs online service vs charity will schemes. Free Will Week. Mirror wills. When DIY is genuinely risky."
equity-release,downsizing-vs-equity-release,spoke,informational,spoke,david,"Downsizing vs equity release: how do they compare financially?","downsizing vs equity release","Spoke. Use :::compare table. Include stamp duty, agent fees, removal costs vs compound interest on lifetime mortgage. Neither is universally better."
benefits,carers-allowance-eligibility-2026,spoke,informational,spoke,margaret,"Who qualifies for Carer's Allowance in 2026?","carers allowance eligibility 2026","Spoke. 35-hour threshold, earnings limit after permitted work, overlap rules with State Pension, effect on Pension Credit."
mobility-aids,stairlift-rental-vs-buying,spoke,informational,spoke,priya,"Is it better to rent or buy a stairlift?","rent or buy stairlift","Spoke. When rental makes sense (post-op recovery, short-term need). Typical rental costs and contract terms. Brands with rental programmes."
funeral-planning,prepaid-funeral-plan-worth-it,spoke,informational,spoke,margaret,"Is a prepaid funeral plan worth it in 2026?","prepaid funeral plan worth it","Spoke. Post-FCA regulation (July 2022). Funeral Planning Authority. Price guarantee mechanics. Who benefits and who probably doesn't."
equity-release,equity-release-affect-benefits,spoke,informational,spoke,david,"Does equity release affect your benefits entitlement?","equity release and benefits","Spoke. Means-tested benefits: Pension Credit, Council Tax Support, Attendance Allowance. Capital threshold rules. Spend-down strategies."
benefits,winter-fuel-payment-eligibility-2026,spoke,informational,spoke,margaret,"Who gets the Winter Fuel Payment in 2026?","winter fuel payment eligibility 2026","Spoke. Post-2024 means-testing change linked to Pension Credit. Current payment rates. What to do if you think you've been wrongly excluded."
mobility-aids,wheelchair-vs-mobility-scooter,spoke,informational,spoke,priya,"Wheelchair or mobility scooter: which is better for getting around?","wheelchair vs mobility scooter uk","Spoke. Self-propelled vs powered chairs. Pavement and road rules for scooters. NHS wheelchair service vs self-purchase. Key brands."
tech-guides,iphone-setup-for-over-60s,spoke,informational,how-to,margaret,"How to set up an iPhone if you're new to smartphones","iphone setup for seniors uk","How-to template. Accessibility settings first (text size, display zoom), Apple ID, iCloud backup, installing apps. Reassuring tone throughout."
